# Ridge Phase 4 ground-truth measurements
# gpu,NVIDIA A100-SXM4-40GB
# sms,108
# nominal_clock_mhz,1410
# sweep,data/sweep/phase4-registered.csv
# warmup_seconds,5
# canary_start_tflops,239.606
# NOTE clocks must be locked (nvidia-smi -lgc 1410,1410), see PLAN.md Finding 9
M,N,K,tag,BM,BN,BK,WM,WN,stages,groupM,regsPerThread,smemBytes,threads,tflops,cublas_tflops,fraction_of_cublas,canary_tflops
4096,4096,4096,canonical,128,128,32,64,64,3,8,224,67584,128,166.855,240.199,0.694656,239.606
4096,4096,4096,canonical,128,128,32,64,64,4,8,225,75776,128,175.469,240.199,0.730514,239.606
4096,4096,4096,canonical,128,128,64,64,64,3,8,243,107520,128,138.397,240.199,0.576177,239.606
4096,4096,4096,canonical,128,128,64,64,32,3,8,125,107520,256,137.049,240.199,0.570565,239.606
4096,4096,4096,canonical,128,256,32,64,64,3,8,236,133120,256,143.878,240.199,0.598996,239.606
4096,4096,4096,canonical,256,128,32,64,64,3,8,226,135168,256,134.76,240.199,0.561035,239.606
4096,4096,4096,canonical,128,64,64,64,32,4,8,127,110592,128,111.701,240.199,0.465034,239.606
4096,4096,4096,canonical,64,128,64,32,64,4,8,167,106496,128,81.552,240.199,0.339519,239.606
4096,4096,4096,canonical,64,64,64,32,32,4,8,91,73728,128,103.496,240.199,0.430878,239.606
4096,4096,4096,canonical,256,128,64,64,64,3,8,248,162816,256,162.893,240.199,0.678161,239.606
4096,4096,4096,canonical,128,128,32,64,32,3,8,124,67584,256,157.656,240.199,0.656356,239.606
4096,4096,4096,canonical,128,128,32,64,32,4,8,124,75776,256,159.361,240.199,0.663454,239.606
4096,4096,4096,canonical,128,128,32,64,32,5,8,124,94720,256,123.188,240.199,0.512857,239.606
4096,4096,4096,canonical,128,128,32,32,64,4,8,127,75776,256,156.838,240.199,0.652949,239.606
4096,4096,4096,canonical,128,128,32,32,32,4,8,95,75776,512,112.113,240.199,0.46675,239.606
4096,4096,4096,canonical,256,128,32,64,32,3,8,125,135168,512,139.213,240.199,0.579573,239.606
4096,4096,4096,canonical,128,256,32,64,32,3,8,125,133120,512,142.082,240.199,0.591516,239.606
4096,4096,4096,canonical,128,128,32,64,64,4,1,225,75776,128,169.231,240.199,0.704546,239.606
4096,4096,4096,canonical,128,128,32,64,64,4,2,225,75776,128,171.41,240.199,0.713616,239.606
4096,4096,4096,canonical,128,128,32,64,64,4,4,225,75776,128,172.489,240.199,0.71811,239.606
4096,4096,4096,canonical,128,128,32,64,64,4,16,225,75776,128,174.767,240.199,0.727591,239.606
4096,4096,4096,canonical,128,128,32,64,64,4,32,225,75776,128,173.04,240.199,0.720404,239.606
4096,4096,4096,canonical,256,128,64,64,64,3,4,248,162816,256,161.334,240.199,0.671668,239.606
4096,4096,4096,canonical,256,128,64,64,64,3,16,248,162816,256,161.743,240.199,0.673372,239.606
8192,8192,8192,many-waves,128,128,32,64,64,3,8,224,67584,128,175.601,256.709,0.684046,240.531
8192,8192,8192,many-waves,128,128,32,64,64,4,8,225,75776,128,181.074,256.709,0.705368,240.531
8192,8192,8192,many-waves,128,128,64,64,64,3,8,243,107520,128,148.557,256.709,0.578697,240.531
8192,8192,8192,many-waves,128,128,64,64,32,3,8,125,107520,256,144.249,256.709,0.561915,240.531
